timestamp,robot2_j1_desired_pos,robot2_j1_desired_vel,robot2_j1_actual_pos,robot2_j1_actual_vel,robot2_j1_error_pos,robot2_j1_error_vel,robot2_j2_desired_pos,robot2_j2_desired_vel,robot2_j2_actual_pos,robot2_j2_actual_vel,robot2_j2_error_pos,robot2_j2_error_vel,robot2_j3_desired_pos,robot2_j3_desired_vel,robot2_j3_actual_pos,robot2_j3_actual_vel,robot2_j3_error_pos,robot2_j3_error_vel,robot2_j4_desired_pos,robot2_j4_desired_vel,robot2_j4_actual_pos,robot2_j4_actual_vel,robot2_j4_error_pos,robot2_j4_error_vel,robot2_j5_desired_pos,robot2_j5_desired_vel,robot2_j5_actual_pos,robot2_j5_actual_vel,robot2_j5_error_pos,robot2_j5_error_vel,robot2_j6_desired_pos,robot2_j6_desired_vel,robot2_j6_actual_pos,robot2_j6_actual_vel,robot2_j6_error_pos,robot2_j6_error_vel,
0,-7.22833e-05,2.61697e-05,-7.22865e-05,3.00795e-05,3.17475e-09,-3.90983e-06,-1.566,0.0343438,-1.56603,-0.00154698,3.5885e-05,0.0358908,-0.0866194,-0.333422,-0.0862861,-1.52375e-05,-0.000333351,-0.333407,-1.48494,0.346219,-1.48528,-4.99039e-05,0.000346211,0.346269,0.0916996,0.352775,0.091347,9.54723e-05,0.00035262,0.352679,1.93714e-05,-1.95396e-05,1.95425e-05,0.000151575,-1.71082e-07,-0.000171115,
0.0455599,-7.17608e-05,2.59593e-05,-7.17619e-05,3.25034e-05,1.06881e-09,-6.54412e-06,-1.56531,0.0340678,-1.56535,-0.00163472,3.57202e-05,0.0357025,-0.0932762,-0.330742,-0.0929453,-1.60304e-05,-0.000330898,-0.330726,-1.47803,0.343437,-1.47837,-4.73962e-05,0.000343662,0.343484,0.0987428,0.349939,0.0983928,9.84768e-05,0.000350023,0.349841,1.89813e-05,-1.93826e-05,1.91517e-05,0.000151023,-1.70375e-07,-0.000170405,
0.0912316,-7.12488e-05,2.5175e-05,-7.12473e-05,3.47821e-05,-1.5163e-09,-9.60714e-06,-1.56464,0.0330384,-1.56468,-0.00172119,3.47907e-05,0.0347596,-0.0997998,-0.320749,-0.0994787,-1.68117e-05,-0.000321034,-0.320732,-1.47125,0.33306,-1.47158,-4.49254e-05,0.000333418,0.333105,0.105645,0.339366,0.105305,0.00010144,0.000339584,0.339265,1.8599e-05,-1.87969e-05,1.87683e-05,0.000150489,-1.69245e-07,-0.000169286,
0.137392,-7.07549e-05,2.42289e-05,-7.07508e-05,3.68891e-05,-4.13593e-09,-1.26602e-05,-1.56399,0.0317969,-1.56403,-0.00180476,3.36294e-05,0.0336016,-0.106092,-0.308695,-0.105783,-1.75669e-05,-0.000308947,-0.308678,-1.46472,0.320544,-1.46504,-4.25375e-05,0.000320866,0.320586,0.112302,0.326613,0.111975,0.000104306,0.000326793,0.326508,1.82303e-05,-1.80906e-05,1.83983e-05,0.000149984,-1.68008e-07,-0.000168075,
0.182787,-7.02767e-05,2.37384e-05,-7.02705e-05,3.88698e-05,-6.18639e-09,-1.51314e-05,-1.56336,0.0311531,-1.5634,-0.00188541,3.30394e-05,0.0330385,-0.112186,-0.302445,-0.111883,-1.82954e-05,-0.000302436,-0.302427,-1.45839,0.314054,-1.4587,-4.02341e-05,0.000314103,0.314094,0.11875,0.32,0.11843,0.000107074,0.000319902,0.319893,1.78732e-05,-1.77243e-05,1.80403e-05,0.000149505,-1.67128e-07,-0.000167229,
0.228771,-6.98019e-05,2.37384e-05,-6.97942e-05,4.08167e-05,-7.66106e-09,-1.70783e-05,-1.56274,0.0311531,-1.56277,-0.00196491,3.3118e-05,0.033118,-0.118235,-0.302445,-0.117932,-1.90128e-05,-0.000302426,-0.302426,-1.45211,0.314054,-1.45242,-3.79643e-05,0.000314092,0.314092,0.12515,0.32,0.12483,0.000109807,0.00031989,0.31989,1.75187e-05,-1.77243e-05,1.76853e-05,0.00014904,-1.66651e-07,-0.000166764,
0.274911,-6.93271e-05,2.37384e-05,-6.9318e-05,4.27367e-05,-9.10145e-09,-1.89983e-05,-1.56212,0.0311531,-1.56215,-0.0020443,3.31974e-05,0.0331974,-0.124283,-0.302445,-0.123981,-1.97289e-05,-0.000302426,-0.302426,-1.44583,0.314054,-1.44614,-3.56979e-05,0.000314089,0.314089,0.13155,0.32,0.13123,0.000112541,0.000319887,0.319887,1.71642e-05,-1.77243e-05,1.73304e-05,0.000148584,-1.66185e-07,-0.000166309,
0.320571,-6.88524e-05,2.37384e-05,-6.88418e-05,4.46284e-05,-1.05083e-08,-2.08901e-05,-1.5615,0.0311531,-1.56153,-0.00212361,3.32767e-05,0.0332767,-0.130332,-0.302445,-0.13003,-2.04439e-05,-0.000302425,-0.302425,-1.43955,0.314054,-1.43986,-3.34338e-05,0.000314087,0.314087,0.13795,0.32,0.13763,0.000115279,0.000319885,0.319885,1.68097e-05,-1.77243e-05,1.69754e-05,0.000148138,-1.65728e-07,-0.000165862,
0.365997,-6.83776e-05,2.37384e-05,-6.83657e-05,4.64881e-05,-1.18778e-08,-2.27497e-05,-1.56087,0.0311531,-1.56091,-0.00220283,3.33559e-05,0.0333559,-0.136381,-0.302445,-0.136079,-2.11577e-05,-0.000302424,-0.302424,-1.43327,0.314054,-1.43358,-3.11713e-05,0.000314085,0.314085,0.14435,0.32,0.14403,0.000118026,0.000319882,0.319882,1.64552e-05,-1.77243e-05,1.66205e-05,0.000147701,-1.6528e-07,-0.000165426,
0.411809,-6.79028e-05,2.37384e-05,-6.78896e-05,4.8317e-05,-1.32113e-08,-2.45787e-05,-1.56025,0.0311531,-1.56028,-0.00228197,3.34351e-05,0.0334351,-0.14243,-0.302445,-0.142128,-2.18703e-05,-0.000302423,-0.302423,-1.42698,0.314054,-1.4273,-2.89114e-05,0.000314083,0.314083,0.15075,0.32,0.15043,0.000120778,0.000319879,0.319879,1.61007e-05,-1.77243e-05,1.62656e-05,0.000147274,-1.64842e-07,-0.000164999,
