   0.000 1767781441.840934091  rpp:cam:cam0,t:441840
   0.000 1767781441.907427091  rpp:cam:cam0,t:441907
   0.000 1767781442.769210091  rpp:cam:cam0,t:442769
   0.000 1767781442.835589091  rpp:cam:cam0,t:442835
   0.000 1767781442.968225091  rpp:cam:cam0,t:442968
   0.000 1767781443.034608091  rpp:cam:cam0,t:443034
   0.000 1767781443.167238091  rpp:cam:cam0,t:443167
   0.000 1767781443.233352091  rpp:cam:cam0,t:443233
   0.000 1767781443.366104091  rpp:cam:cam0,t:443366
   0.000 1767781443.498736091  rpp:cam:cam0,t:443498
   0.000 1767781447.145353091  rpp:cam:cam0,t:447145
   0.000 1767781447.211734091  rpp:cam:cam0,t:447211
   0.000 1767781447.278107091  rpp:cam:cam0,t:447278
   0.000 1767781461.732585091  rpp:cam:cam0,t:461732
   0.000 1767781465.047757091  rpp:cam:cam0,t:465047
   0.000 1767781468.296796091  rpp:cam:cam0,t:468296
   0.000 1767781465.379201091  rpp:cam:cam0,t:465379
   0.000 1767781482.883896091  rpp:cam:cam0,t:482883
   0.000 1767781416.711331091  rpp:cam:cam0,t:416711
   0.000 1767781467.169508091  rpp:cam:cam0,t:467169
   0.000 1767781467.633657091  rpp:cam:cam0,t:467633
   0.000 1767781463.589138091  rpp:cam:cam0,t:463589
   0.000 1767781460.406415091  rpp:cam:cam0,t:460406
   0.000 1767781444.493138091  rpp:cam:cam0,t:444493
   0.000 1767781468.959822091  rpp:cam:cam0,t:468959
   0.000 1767781472.871819091  rpp:cam:cam0,t:472871
   0.000 1767781381.304485091  rpp:cam:cam0,t:381304
   0.000 1767781461.599829091  rpp:cam:cam0,t:461599
   0.000 1767781462.660872091  rpp:cam:cam0,t:462660
   0.000 1767781381.039352091  rpp:cam:cam0,t:381039
   0.000 1767781476.717450091  rpp:cam:cam0,t:476717
   0.000 1767781477.247964091  rpp:cam:cam0,t:477247
   0.000 1767781483.414286091  rpp:cam:cam0,t:483414
   0.000 1767781403.516642091  rpp:cam:cam0,t:403516
   0.000 1767781464.053286091  rpp:cam:cam0,t:464053
   0.000 1767781400.599279091  rpp:cam:cam0,t:400599
   0.000 1767781480.629319091  rpp:cam:cam0,t:480629
   0.000 1767781481.624104091  rpp:cam:cam0,t:481624
   0.000 1767781435.475840091  rpp:cam:cam0,t:435475
   0.000 1767781466.904377091  rpp:cam:cam0,t:466904
   0.000 1767781465.843344091  rpp:cam:cam0,t:465843
   0.000 1767781388.531863091  rpp:cam:cam0,t:388531
   0.000 1767781466.638992091  rpp:cam:cam0,t:466638
   0.000 1767781474.529380091  rpp:cam:cam0,t:474529
   0.000 1767781477.579469091  rpp:cam:cam0,t:477579
   0.000 1767781466.174850091  rpp:cam:cam0,t:466174
   0.000 1767781438.658449091  rpp:cam:cam0,t:438658
   0.000 1767781482.751266091  rpp:cam:cam0,t:482751
   0.000 1767781439.918244091  rpp:cam:cam0,t:439918
   0.000 1767781462.859621091  rpp:cam:cam0,t:462859
   0.000 1767781381.171983091  rpp:cam:cam0,t:381171
   0.000 1767781401.063420091  rpp:cam:cam0,t:401063
   0.000 1767781403.450502091  rpp:cam:cam0,t:403450
   0.000 1767781387.404597091  rpp:cam:cam0,t:387404
   0.000 1767781473.136969091  rpp:cam:cam0,t:473136
   0.000 1767781474.927305091  rpp:cam:cam0,t:474927
   0.000 1767781437.597408091  rpp:cam:cam0,t:437597
   0.000 1767781465.511962091  rpp:cam:cam0,t:465511
   0.000 1767781447.543244091  rpp:cam:cam0,t:447543
   0.000 1767781433.619275091  rpp:cam:cam0,t:433619
   0.000 1767781464.119410091  rpp:cam:cam0,t:464119
   0.000 1767781431.696465091  rpp:cam:cam0,t:431696
   0.000 1767781363.534738091  rpp:cam:cam0,t:363534
   0.000 1767781480.761959091  rpp:cam:cam0,t:480761
   0.000 1767781376.729451091  rpp:cam:cam0,t:376729
   0.000 1767781433.221393091  rpp:cam:cam0,t:433221
   0.000 1767781465.976093091  rpp:cam:cam0,t:465976
   0.000 1767781475.059891091  rpp:cam:cam0,t:475059
   0.000 1767781338.802969091  rpp:cam:cam0,t:338802
   0.000 1767781477.513115091  rpp:cam:cam0,t:477513
   0.000 1767781445.023654091  rpp:cam:cam0,t:445023
   0.000 1767781435.740969091  rpp:cam:cam0,t:435740
   0.000 1767781373.215204091  rpp:cam:cam0,t:373215
   0.000 1767781461.798836091  rpp:cam:cam0,t:461798
   0.000 1767781473.601093091  rpp:cam:cam0,t:473601
   0.000 1767781463.522646091  rpp:cam:cam0,t:463522
   0.000 1767781383.757699091  rpp:cam:cam0,t:383757
   0.000 1767781481.491475091  rpp:cam:cam0,t:481491
   0.000 1767781379.912196091  rpp:cam:cam0,t:379912
   0.000 1767781370.032714091  rpp:cam:cam0,t:370032
   0.000 1767781467.965275091  rpp:cam:cam0,t:467965
   0.000 1767781461.533726091  rpp:cam:cam0,t:461533
   0.000 1767781472.009792091  rpp:cam:cam0,t:472009
   0.000 1767781478.839265091  rpp:cam:cam0,t:478839
   0.000 1767781453.311678091  rpp:cam:cam0,t:453311
   0.000 1767781436.205119091  rpp:cam:cam0,t:436205
   0.000 1767781416.446201091  rpp:cam:cam0,t:416446
   0.000 1767781465.313115091  rpp:cam:cam0,t:465313
   0.000 1767781403.715637091  rpp:cam:cam0,t:403715
   0.000 1767781374.408872091  rpp:cam:cam0,t:374408
   0.000 1767781480.099055091  rpp:cam:cam0,t:480099
   0.000 1767781468.561927091  rpp:cam:cam0,t:468561
   0.000 1767781469.158575091  rpp:cam:cam0,t:469158
   0.000 1767781462.461862091  rpp:cam:cam0,t:462461
   0.000 1767781397.416568091  rpp:cam:cam0,t:397416
   0.000 1767781476.584819091  rpp:cam:cam0,t:476584
   0.000 1767781475.524035091  rpp:cam:cam0,t:475524
   0.000 1767781373.016444091  rpp:cam:cam0,t:373016
   0.000 1767781465.578210091  rpp:cam:cam0,t:465578
   0.000 1767781473.667474091  rpp:cam:cam0,t:473667
   0.000 1767781466.108735091  rpp:cam:cam0,t:466108
   0.000 1767781465.246571091  rpp:cam:cam0,t:465246
   0.000 1767781481.292465091  rpp:cam:cam0,t:481292
   0.000 1767781476.120676091  rpp:cam:cam0,t:476120
   0.000 1767781469.622712091  rpp:cam:cam0,t:469622
   0.000 1767781439.785479091  rpp:cam:cam0,t:439785
   0.000 1767781483.878425091  rpp:cam:cam0,t:483878
   0.000 1767781388.664368091  rpp:cam:cam0,t:388664
   0.000 1767781466.440234091  rpp:cam:cam0,t:466440
   0.000 1767781428.911631091  rpp:cam:cam0,t:428911
   0.000 1767781435.541966091  rpp:cam:cam0,t:435541
   0.000 1767781462.926000091  rpp:cam:cam0,t:462926
   0.000 1767781382.763287091  rpp:cam:cam0,t:382763
   0.000 1767781479.502159091  rpp:cam:cam0,t:479502
   0.000 1767781431.099691091  rpp:cam:cam0,t:431099
   0.000 1767781439.122586091  rpp:cam:cam0,t:439122
   0.000 1767781375.602182091  rpp:cam:cam0,t:375602
   0.000 1767781373.414075091  rpp:cam:cam0,t:373414
   0.000 1767781466.373856091  rpp:cam:cam0,t:466373
   0.000 1767781457.820580091  rpp:cam:cam0,t:457820
   0.000 1767781483.347908091  rpp:cam:cam0,t:483347
   0.000 1767781471.545653091  rpp:cam:cam0,t:471545
   0.000 1767781473.800099091  rpp:cam:cam0,t:473800
   0.000 1767781474.463127091  rpp:cam:cam0,t:474463
   0.000 1767781438.592067091  rpp:cam:cam0,t:438592
   0.000 1767781447.941006091  rpp:cam:cam0,t:447941
   0.000 1767781463.788028091  rpp:cam:cam0,t:463788
   0.000 1767781385.813142091  rpp:cam:cam0,t:385813
   0.000 1767781470.553760091  rpp:cam:cam0,t:470553
   0.000 1767781481.226093091  rpp:cam:cam0,t:481226
   0.000 1767781480.165181091  rpp:cam:cam0,t:480165
   0.000 1767781481.557597091  rpp:cam:cam0,t:481557
   0.000 1767781473.070580091  rpp:cam:cam0,t:473070
   0.000 1767781475.192561091  rpp:cam:cam0,t:475192
   0.000 1767781438.393061091  rpp:cam:cam0,t:438393
   0.000 1767781425.132243091  rpp:cam:cam0,t:425132
   0.000 1767781421.021352091  rpp:cam:cam0,t:421021
   0.000 1767781464.583552091  rpp:cam:cam0,t:464583
   0.000 1767781467.832656091  rpp:cam:cam0,t:467832
   0.000 1767781432.889796091  rpp:cam:cam0,t:432889
   0.000 1767781464.716308091  rpp:cam:cam0,t:464716
   0.000 1767781466.705498091  rpp:cam:cam0,t:466705
   0.000 1767781372.817443091  rpp:cam:cam0,t:372817
   0.000 1767781469.291206091  rpp:cam:cam0,t:469291
   0.000 1767781416.777709091  rpp:cam:cam0,t:416777
   0.000 1767781480.894703091  rpp:cam:cam0,t:480894
   0.000 1767781458.815110091  rpp:cam:cam0,t:458815
   0.000 1767781464.848933091  rpp:cam:cam0,t:464848
   0.000 1767781480.231681091  rpp:cam:cam0,t:480231
   0.000 1767781416.379824091  rpp:cam:cam0,t:416379
   0.000 1767781460.936945091  rpp:cam:cam0,t:460936
   0.000 1767781433.818030091  rpp:cam:cam0,t:433818
   0.000 1767781482.419752091  rpp:cam:cam0,t:482419
   0.000 1767781470.418367091  rpp:cam:cam0,t:470418
   0.000 1767781471.744658091  rpp:cam:cam0,t:471744
   0.000 1767781471.612033091  rpp:cam:cam0,t:471612
   0.000 1767781471.147889091  rpp:cam:cam0,t:471147
   0.000 1767781470.020737091  rpp:cam:cam0,t:470020
   0.000 1767781437.398697091  rpp:cam:cam0,t:437398
   0.000 1767781331.443079091  rpp:cam:cam0,t:331443
   0.000 1767781347.157399091  rpp:cam:cam0,t:347157
   0.000 1767781483.745671091  rpp:cam:cam0,t:483745
   0.000 1767781468.362926091  rpp:cam:cam0,t:468362
   0.000 1767781433.088756091  rpp:cam:cam0,t:433088
   0.000 1767781380.508831091  rpp:cam:cam0,t:380508
   0.000 1767781468.230288091  rpp:cam:cam0,t:468230
   0.000 1767781426.126650091  rpp:cam:cam0,t:426126
   0.000 1767781460.273907091  rpp:cam:cam0,t:460273
   0.000 1767781416.910343091  rpp:cam:cam0,t:416910
   0.000 1767781388.597993091  rpp:cam:cam0,t:388597
   0.000 1767781380.773966091  rpp:cam:cam0,t:380773
   0.000 1767781466.970503091  rpp:cam:cam0,t:466970
   0.000 1767781479.966301091  rpp:cam:cam0,t:479966
   0.000 1767781464.252172091  rpp:cam:cam0,t:464252
   0.000 1767781400.864413091  rpp:cam:cam0,t:400864
   0.000 1767781458.616105091  rpp:cam:cam0,t:458616
   0.000 1767781478.109737091  rpp:cam:cam0,t:478109
   0.000 1767781335.355094091  rpp:cam:cam0,t:335355
   0.000 1767781483.944675091  rpp:cam:cam0,t:483944
   0.000 1767781477.115335091  rpp:cam:cam0,t:477115
   0.000 1767781425.463749091  rpp:cam:cam0,t:425463
   0.000 1767781478.441377091  rpp:cam:cam0,t:478441
   0.000 1767781318.844986091  rpp:cam:cam0,t:318844
   0.000 1767781436.735633091  rpp:cam:cam0,t:436735
   0.000 1767781477.911058091  rpp:cam:cam0,t:477911
   0.000 1767781447.742247091  rpp:cam:cam0,t:447742
   0.000 1767781470.750004091  rpp:cam:cam0,t:470750
   0.000 1767781437.663917091  rpp:cam:cam0,t:437663
   0.000 1767781422.877792091  rpp:cam:cam0,t:422877
   0.000 1767781364.197757091  rpp:cam:cam0,t:364197
   0.000 1767781479.303404091  rpp:cam:cam0,t:479303
   0.000 1767781463.191134091  rpp:cam:cam0,t:463191
   0.000 1767781473.468607091  rpp:cam:cam0,t:473468
   0.000 1767781364.661856091  rpp:cam:cam0,t:364661
   0.000 1767781328.193964091  rpp:cam:cam0,t:328193
   0.000 1767781468.495675091  rpp:cam:cam0,t:468495
   0.000 1767781467.501173091  rpp:cam:cam0,t:467501
   0.000 1767781468.031410091  rpp:cam:cam0,t:468031
   0.000 1767781440.183504091  rpp:cam:cam0,t:440183
   0.000 1767781479.170772091  rpp:cam:cam0,t:479170
   0.000 1767781363.866246091  rpp:cam:cam0,t:363866
   0.000 1767781472.540306091  rpp:cam:cam0,t:472540
   0.000 1767781471.479404091  rpp:cam:cam0,t:471479
   0.000 1767781348.549823091  rpp:cam:cam0,t:348549
   0.000 1767781439.453973091  rpp:cam:cam0,t:439453
   0.000 1767781472.937947091  rpp:cam:cam0,t:472937
   0.000 1767781472.341304091  rpp:cam:cam0,t:472341
   0.000 1767781481.955616091  rpp:cam:cam0,t:481955
   0.000 1767781454.306462091  rpp:cam:cam0,t:454306
   0.000 1767781478.971891091  rpp:cam:cam0,t:478971
   0.000 1767781432.027979091  rpp:cam:cam0,t:432027
   0.000 1767781465.909716091  rpp:cam:cam0,t:465909
   0.000 1767781428.646242091  rpp:cam:cam0,t:428646
   0.000 1767781338.537585091  rpp:cam:cam0,t:338537
   0.000 1767781471.810784091  rpp:cam:cam0,t:471810
   0.000 1767781469.755348091  rpp:cam:cam0,t:469755
   0.000 1767781403.251499091  rpp:cam:cam0,t:403251
   0.000 1767781433.486515091  rpp:cam:cam0,t:433486
   0.000 1767781389.062254091  rpp:cam:cam0,t:389062
   0.000 1767781424.999620091  rpp:cam:cam0,t:424999
   0.000 1767781473.998816091  rpp:cam:cam0,t:473998
   0.000 1767781467.103154091  rpp:cam:cam0,t:467103
   0.000 1767781462.594486091  rpp:cam:cam0,t:462594
   0.000 1767781364.595564091  rpp:cam:cam0,t:364595
   0.000 1767781464.782561091  rpp:cam:cam0,t:464782
   0.000 1767781428.381104091  rpp:cam:cam0,t:428381
   0.000 1767781474.794512091  rpp:cam:cam0,t:474794
   0.000 1767781371.822785091  rpp:cam:cam0,t:371822
   0.000 1767781462.992381091  rpp:cam:cam0,t:462992
   0.000 1767781402.853738091  rpp:cam:cam0,t:402853
   0.000 1767781363.667248091  rpp:cam:cam0,t:363667
   0.000 1767781428.115965091  rpp:cam:cam0,t:428115
   0.000 1767781444.559518091  rpp:cam:cam0,t:444559
   0.000 1767781471.280525091  rpp:cam:cam0,t:471280
   0.000 1767781315.927673091  rpp:cam:cam0,t:315927
   0.000 1767781380.972976091  rpp:cam:cam0,t:380972
   0.000 1767781428.248595091  rpp:cam:cam0,t:428248
   0.000 1767781379.646806091  rpp:cam:cam0,t:379646
   0.000 1767781481.358845091  rpp:cam:cam0,t:481358
   0.000 1767781476.452316091  rpp:cam:cam0,t:476452
   0.000 1767781483.679546091  rpp:cam:cam0,t:483679
